SR Type,Neighborhood,2017,2018,2019,2020,2021,2022,2023
HCD-Sanitation Property,NOME AVE,,,,,,,1
HCD-Sanitation Property,North Harford Road,226,238,198,198,201,146,160
HCD-Sanitation Property,North Roland Park/Poplar Hill,10,8,9,6,10,9,11
HCD-Sanitation Property,Northwest Community Action,342,335,237,229,242,204,276
HCD-Sanitation Property,Oakenshawe,51,80,62,59,80,60,64
HCD-Sanitation Property,Oaklee,43,20,11,13,17,22,21
HCD-Sanitation Property,O'Donnell Heights,10,4,4,8,4,2,5
HCD-Sanitation Property,Old Goucher,47,36,29,26,51,33,41
HCD-Sanitation Property,Oldtown,117,49,53,49,52,97,46
HCD-Sanitation Property,Oliver,692,494,341,293,380,511,563
HCD-Sanitation Property,Orangeville,15,24,25,29,25,32,36
HCD-Sanitation Property,Orangeville Industrial Area,5,14,6,8,4,7,27
HCD-Sanitation Property,Orchard Ridge,18,20,41,9,25,50,38
HCD-Sanitation Property,Original Northwood,78,92,89,59,44,59,46
HCD-Sanitation Property,Otterbein,30,13,12,7,21,12,23
HCD-Sanitation Property,Overlea,74,27,54,28,46,21,31
HCD-Sanitation Property,Panway/Braddish Avenue,126,94,102,66,63,96,53
HCD-Sanitation Property,Park Circle,523,423,423,299,252,244,270
HCD-Sanitation Property,Parklane,134,137,117,76,114,68,87
HCD-Sanitation Property,Parkside,113,112,109,106,122,122,165
HCD-Sanitation Property,Parkview/Woodbrook,275,281,209,176,238,173,98
HCD-Sanitation Property,Parkway,,,,,,,35
HCD-Sanitation Property,Patterson Park,13,2,2,1,,3,1
HCD-Sanitation Property,Patterson Park Neighborhood,462,417,331,301,296,321,329
HCD-Sanitation Property,Patterson Place,109,108,80,83,65,62,94
HCD-Sanitation Property,Pen Lucy,250,145,145,171,131,122,157
HCD-Sanitation Property,Penn North,280,261,279,194,278,238,328
HCD-Sanitation Property,Penn-Fallsway,14,4,4,3,4,3,1
HCD-Sanitation Property,PENNINGTON AVE,,,,,,,1
HCD-Sanitation Property,Penrose/Fayette Street Outreach,418,377,363,358,318,565,568
HCD-Sanitation Property,Perkins,,,,,,,1
HCD-Sanitation Property,Perkins Homes,1,1,,1,1,1,
HCD-Sanitation Property,Perring Loch,157,170,106,124,113,145,188
HCD-Sanitation Property,Pimlico Good Neighbors,69,77,91,70,70,62,129
HCD-Sanitation Property,Pleasant View Gardens,11,5,9,5,4,2,5
HCD-Sanitation Property,Poppleton,242,145,119,176,268,217,190
HCD-Sanitation Property,Port Covington,1,2,,,2,,
HCD-Sanitation Property,Pulaski Industrial Area,32,34,28,22,16,14,12
HCD-Sanitation Property,Purnell,4,3,1,1,,3,
HCD-Sanitation Property,QUEENSGATE RD,,,,,,,1
HCD-Sanitation Property,Radnor-Winston,21,9,7,8,2,3,5
HCD-Sanitation Property,Ramblewood,153,151,114,64,98,94,104
HCD-Sanitation Property,RAMSAY ST,,,,,,,1
HCD-Sanitation Property,Reisterstown Station,86,87,79,46,80,91,80
HCD-Sanitation Property,Remington,371,229,231,84,233,186,216
HCD-Sanitation Property,Reservoir Hill,477,391,319,263,338,368,454
HCD-Sanitation Property,Richnor Springs,78,86,53,51,93,93,80
HCD-Sanitation Property,Ridgely's Delight,83,66,40,33,51,58,34
HCD-Sanitation Property,RIGGS AVE,,,,,,,1
HCD-Sanitation Property,Riverside,322,287,173,140,124,133,201
HCD-Sanitation Property,Rognel Heights,148,116,110,73,120,102,100
HCD-Sanitation Property,ROLAND AVE,,,,,,,1
HCD-Sanitation Property,Roland Park,37,32,15,21,41,31,31
HCD-Sanitation Property,Rosebank,33,17,8,18,7,17,27
HCD-Sanitation Property,Rosemont,338,459,374,242,364,373,409
HCD-Sanitation Property,Rosemont East,65,55,46,43,62,84,40
HCD-Sanitation Property,Rosemont Homeowners/Tenants,333,349,193,172,270,328,304
HCD-Sanitation Property,ROSLYN AVE,,,,,,,1
HCD-Sanitation Property,S AUGUSTA AVE,,,,,,,3
HCD-Sanitation Property,S WOLFE ST,,,,,,,1
HCD-Sanitation Property,Sabina-Mattfeldt,43,28,10,13,18,2,6
HCD-Sanitation Property,Saint Agnes,64,61,60,29,58,90,28
HCD-Sanitation Property,Saint Helena,128,102,68,61,39,80,68
HCD-Sanitation Property,Saint Josephs,395,404,355,296,252,326,410
HCD-Sanitation Property,Saint Paul,14,34,17,27,4,4,6
HCD-Sanitation Property,Sandtown-Winchester,1391,1050,739,746,939,1083,1111
HCD-Sanitation Property,Seton Business Park,4,2,3,2,3,2,5
HCD-Sanitation Property,Seton Hill,62,36,38,27,58,62,77
HCD-Sanitation Property,Sharp-Leadenhall,52,41,31,26,16,33,61
HCD-Sanitation Property,Shipley Hill,608,291,322,236,287,375,521
HCD-Sanitation Property,South Baltimore,212,207,144,136,133,151,117
HCD-Sanitation Property,South Clifton Park,117,85,98,94,91,186,189
HCD-Sanitation Property,Spring Garden Industrial Area,1,,4,3,6,2,1
HCD-Sanitation Property,Stadium Area,1,1,,1,,1,
HCD-Sanitation Property,Stadium/Entertainment Area,,,,,,,1
HCD-Sanitation Property,Stonewood-Pentwood-Winston,59,67,84,25,42,41,64
HCD-Sanitation Property,Taylor Heights,7,9,5,17,10,4,6
