SW-Dirty Alley,Callaway-Garrison,3,5,1,1,7,8,3,9,7,2,3,2,5,4,9,9,11,5,8,8,3,2,5,5,4,2,4,3,4,4,5,15,7,6,3,1,2,3,6,6,2,1,1,4,4,5,4,3,2,2,5,3,5,7,4,3,6,5,,4,3,4,2,2,1,3,2,3,2,,1,1,7,4,2,5,4,3,8,3,2,3,6,4
SW-Dirty Alley,Cameron Village,2,8,1,5,2,,4,3,3,4,4,1,6,4,1,8,5,3,5,,7,4,5,5,6,1,5,4,3,2,6,8,1,9,3,1,3,,1,1,1,,3,2,1,4,,,,1,6,1,7,1,,2,4,1,2,,1,3,,2,1,1,1,2,3,,,2,,1,2,,1,1,3,2,2,2,,2
SW-Dirty Alley,Canton,18,23,18,13,25,34,36,28,12,27,26,24,49,19,25,19,39,59,43,52,22,33,22,24,24,20,18,21,21,35,24,27,30,15,14,14,21,17,9,22,19,26,30,23,35,21,26,10,30,15,26,34,27,25,27,22,26,13,15,9,11,8,7,8,17,22,24,17,14,8,8,11,15,10,11,16,8,18,11,12,13,9,10,4
SW-Dirty Alley,Canton Industrial Area,,,,,,1,,1,,,1,,,,,,,,,3,,,,1,,1,,1,1,,,,,,,1,,1,1,1,,,,,,,1,,1,,4,2,2,2,1,,,,1,,,,,1,,1,,,1,,,1,1,2,,,1,,,2,1,,,
SW-Dirty Alley,CARE,15,14,24,9,12,21,33,19,22,11,14,10,19,14,14,9,10,14,12,19,12,19,10,12,16,15,26,14,13,8,15,12,11,10,14,8,14,9,6,9,7,6,10,10,8,10,16,13,16,14,14,18,21,13,12,9,14,6,6,4,4,3,19,15,14,12,9,4,8,9,5,6,12,7,8,5,8,8,7,14,5,7,3,4
SW-Dirty Alley,Carroll - Camden Industrial Area,1,1,1,5,,,,2,,,,,,,,,,2,2,1,,,,1,,1,,,,,2,2,1,,,1,1,,1,,,,,2,2,,1,,,,,,1,1,1,1,,,,1,,1,,1,,,,,,,,1,2,,,1,1,,1,2,1,2,1,3
SW-Dirty Alley,Carroll Park,,1,,,2,1,1,2,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,
SW-Dirty Alley,Carroll-South Hilton,3,7,9,5,4,5,4,2,4,4,5,8,4,6,6,3,6,11,7,6,4,6,5,10,5,8,7,11,7,11,6,10,6,8,2,6,3,4,2,1,2,5,9,4,8,4,3,5,3,2,9,7,4,3,7,4,4,2,1,3,3,1,3,2,,5,6,6,6,1,4,4,3,4,7,8,6,6,3,4,3,7,5,2
SW-Dirty Alley,Carrollton Ridge,71,96,93,67,39,56,50,54,67,57,50,103,83,84,107,96,84,98,90,50,41,70,47,96,104,74,74,66,31,40,24,51,38,40,29,21,48,19,20,17,30,33,43,62,65,31,42,21,35,23,35,60,45,49,48,31,31,39,19,23,28,43,50,34,24,62,54,64,72,104,67,49,89,74,80,55,53,52,55,61,89,53,17,64
SW-Dirty Alley,Cedarcroft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
