SR Type,Neighborhood,2017,2018,2019,2020,2021,2022,2023
HCD-Illegal Dumping,Parklane,12,15,26,21,39,30,44
HCD-Illegal Dumping,Parkside,3,9,12,48,46,16,35
HCD-Illegal Dumping,Parkview/Woodbrook,40,40,65,62,112,93,58
HCD-Illegal Dumping,Parkway,,,,,,,12
HCD-Illegal Dumping,Patterson Park,1,2,5,3,6,3,5
HCD-Illegal Dumping,Patterson Park Neighborhood,70,92,182,317,363,290,288
HCD-Illegal Dumping,Patterson Place,22,32,38,48,111,124,118
HCD-Illegal Dumping,Pen Lucy,34,17,48,28,45,55,55
HCD-Illegal Dumping,Penn North,35,40,87,136,177,151,207
HCD-Illegal Dumping,Penn-Fallsway,2,2,2,7,2,9,8
HCD-Illegal Dumping,Penrose/Fayette Street Outreach,52,72,123,101,133,177,211
HCD-Illegal Dumping,Perkins,,,,,,,1
HCD-Illegal Dumping,Perkins Homes,,,3,3,1,3,
HCD-Illegal Dumping,Perring Loch,4,8,14,14,22,36,20
HCD-Illegal Dumping,Pimlico Good Neighbors,6,7,11,26,20,14,13
HCD-Illegal Dumping,Pleasant View Gardens,2,,1,4,3,5,5
HCD-Illegal Dumping,POPLAR GROVE ST,,,,,,,1
HCD-Illegal Dumping,Poppleton,39,26,75,86,109,80,106
HCD-Illegal Dumping,Port Covington,,,1,3,6,,1
HCD-Illegal Dumping,PULASKI HWY,,,,,,,1
HCD-Illegal Dumping,Pulaski Industrial Area,10,21,14,33,50,60,69
HCD-Illegal Dumping,Purnell,,6,4,5,15,11,21
HCD-Illegal Dumping,Radnor-Winston,,,2,1,6,4,2
HCD-Illegal Dumping,Ramblewood,11,1,9,16,29,36,46
HCD-Illegal Dumping,Reisterstown Station,13,15,21,28,22,31,14
HCD-Illegal Dumping,Remington,39,49,52,59,60,53,91
HCD-Illegal Dumping,Reservoir Hill,58,90,153,137,150,167,211
HCD-Illegal Dumping,Richnor Springs,1,3,12,4,10,12,11
HCD-Illegal Dumping,Ridgely's Delight,5,5,18,19,29,47,39
HCD-Illegal Dumping,Riverside,23,20,72,62,53,62,76
HCD-Illegal Dumping,ROBB ST,,,,,,,1
HCD-Illegal Dumping,Rognel Heights,15,15,20,31,24,44,23
HCD-Illegal Dumping,Roland Park,2,3,4,6,17,17,14
HCD-Illegal Dumping,Rosebank,,2,5,7,4,3,4
HCD-Illegal Dumping,Rosemont,25,54,100,75,88,110,153
HCD-Illegal Dumping,Rosemont East,3,8,7,11,11,43,26
HCD-Illegal Dumping,Rosemont Homeowners/Tenants,19,25,36,22,49,43,44
HCD-Illegal Dumping,S CAREY ST,,,,,,,1
HCD-Illegal Dumping,S HANOVER ST,,,,,,,2
HCD-Illegal Dumping,S MACON ST,,,,,,,1
HCD-Illegal Dumping,S WARWICK AVE,,,,,,,1
HCD-Illegal Dumping,Sabina-Mattfeldt,2,3,3,5,3,3,3
HCD-Illegal Dumping,Saint Agnes,2,1,2,4,10,7,5
HCD-Illegal Dumping,Saint Helena,1,8,3,21,18,8,14
HCD-Illegal Dumping,Saint Josephs,33,38,71,55,59,65,57
HCD-Illegal Dumping,Saint Paul,2,6,8,9,11,7,14
HCD-Illegal Dumping,Sandtown-Winchester,150,177,252,262,323,362,446
HCD-Illegal Dumping,Seton Business Park,,1,1,2,,1,5
HCD-Illegal Dumping,Seton Hill,2,8,10,7,13,17,11
HCD-Illegal Dumping,Sharp-Leadenhall,9,8,12,15,6,11,20
HCD-Illegal Dumping,Shipley Hill,52,59,97,103,157,245,244
HCD-Illegal Dumping,South Baltimore,22,28,49,55,84,64,91
HCD-Illegal Dumping,South Clifton Park,11,15,37,50,68,102,177
HCD-Illegal Dumping,SOUTHWESTERN BLVD,,,,,,,2
HCD-Illegal Dumping,Spring Garden Industrial Area,,3,,,3,5,2
HCD-Illegal Dumping,Stadium Area,,,1,2,2,,1
HCD-Illegal Dumping,Stadium/Entertainment Area,,,,,,,1
HCD-Illegal Dumping,Stonewood-Pentwood-Winston,3,6,5,2,4,4,7
HCD-Illegal Dumping,Ten Hills,3,6,15,9,3,11,11
HCD-Illegal Dumping,The Orchards,3,,,,,1,
HCD-Illegal Dumping,Towanda-Grantley,13,24,35,20,29,31,57
HCD-Illegal Dumping,Tremont,1,2,3,3,5,10,10
HCD-Illegal Dumping,Tuscany-Canterbury,1,,3,1,2,6,1
HCD-Illegal Dumping,Union Square,19,21,31,32,63,67,53
HCD-Illegal Dumping,University Of Maryland,1,2,9,5,6,8,7
HCD-Illegal Dumping,Uplands,4,8,21,8,9,9,17
HCD-Illegal Dumping,Upper Fells Point,57,63,113,93,82,127,130
HCD-Illegal Dumping,Upton,64,41,85,89,139,116,163
HCD-Illegal Dumping,Villages Of Homeland,,,1,2,,,
HCD-Illegal Dumping,VINE ST,,,,,,,1
HCD-Illegal Dumping,Violetville,14,16,20,23,50,35,20
HCD-Illegal Dumping,W BALTIMORE ST,,,,,,,1
HCD-Illegal Dumping,W NORTH AVE,,,,,,,1
HCD-Illegal Dumping,Wakefield,1,,1,1,3,4,2
HCD-Illegal Dumping,Walbrook,37,70,74,91,93,78,140
HCD-Illegal Dumping,Waltherson,14,23,51,53,51,42,42
HCD-Illegal Dumping,Washington Hill,28,51,66,76,134,92,92
HCD-Illegal Dumping,Washington Village/Pigtown,111,155,280,257,269,251,279
HCD-Illegal Dumping,Waverly,25,57,78,42,52,80,96
HCD-Illegal Dumping,West Arlington,28,36,36,29,40,46,46
HCD-Illegal Dumping,West Forest Park,17,19,27,45,65,49,54
HCD-Illegal Dumping,West Hills,11,22,22,18,16,13,11
HCD-Illegal Dumping,Westfield,5,10,14,16,27,11,21
HCD-Illegal Dumping,Westgate,7,9,35,34,37,22,26
HCD-Illegal Dumping,Westport,38,45,53,69,52,83,101
HCD-Illegal Dumping,WETHEREDSVILLE RD,,,,,,,1
HCD-Illegal Dumping,Wilhelm Park,9,17,36,50,50,103,85
HCD-Illegal Dumping,WILLARD ST,,,,,,,3
HCD-Illegal Dumping,Wilson Park,7,7,33,10,19,14,34
HCD-Illegal Dumping,Winchester,20,36,36,37,48,53,78
HCD-Illegal Dumping,Windsor Hills,9,6,31,24,24,28,21
HCD-Illegal Dumping,Winston-Govans,12,23,28,28,18,31,20
HCD-Illegal Dumping,WINTERBOURNE RD,,,,,,,1
HCD-Illegal Dumping,Woodberry,15,14,13,33,20,19,21
HCD-Illegal Dumping,Woodbourne Heights,1,7,9,15,16,6,4
HCD-Illegal Dumping,Woodbourne-McCabe,8,9,22,26,30,36,30
HCD-Illegal Dumping,Woodmere,10,13,32,49,51,41,107
HCD-Illegal Dumping,Wrenlane,1,1,2,7,11,9,3
HCD-Illegal Dumping,Wyman Park,1,4,5,8,17,4,10
HCD-Illegal Dumping,Wyndhurst,2,1,4,2,1,1,2
HCD-Illegal Dumping,Yale Heights,15,19,16,21,42,24,17
HCD-Illegal Dumping,York-Homeland,1,,,,2,7,6
